收信匣名稱,資料夾名稱,收信時間,寄件者,主旨
KJ-2021A,成功,2022/05/17 22:54:49,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/18 15:19:23,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/18 19:39:44,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/19 13:40:09,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/19 19:40:10,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/20 13:39:36,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/20 19:39:39,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/24 13:40:42,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/25 13:40:21,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/25 19:39:23,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/26 13:39:58,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/26 19:39:48,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/27 13:40:18,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/30 13:41:26,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/30 21:10:28,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/31 13:40:30,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/31 19:40:32,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/01 19:41:08,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/03 13:40:36,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/03 16:11:18,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/06 13:54:49,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/06 21:10:36,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/07 19:40:42,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/08 13:41:36,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/08 19:41:46,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/09 15:46:00,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/09 19:42:51,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/10 19:40:42,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/13 14:01:39,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/13 21:10:44,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/15 08:47:08,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/15 13:40:54,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/15 19:41:00,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/16 13:40:53,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/16 19:41:43,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/17 13:41:51,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/20 13:42:11,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/20 21:11:36,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/22 13:39:56,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/22 19:40:12,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/23 14:56:16,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/24 13:39:17,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/25 13:39:21,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/24 19:39:10,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/27 13:39:24,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/28 00:46:05,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/28 13:45:02,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/28 19:39:25,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/29 13:39:45,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/29 19:39:37,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/30 13:49:06,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/06/30 19:39:30,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/07/04 22:09:53,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/07/05 13:38:44,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/07/05 19:38:37,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/07/06 13:38:44,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/07/06 19:38:37,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/07/07 19:38:37,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,失敗/異常,2022/04/22 14:00:42,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/05/17 20:01:15,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/05/18 14:01:19,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/05/23 13:36:53,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/05/23 15:24:18,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/05/23 19:50:55,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/06/06 13:34:16,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/06/09 13:37:42,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/06/09 15:34:47,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/06/13 13:35:04,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/06/17 19:40:09,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,失敗/異常,2022/06/30 13:33:20,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,RPA3,2022/04/14 09:46:02,papa_chiu@topunion.com.tw,RE: 20220414_09:37_100S 100R 
KJ-2021A,RPA3,2022/04/15 13:21:18,hanny_chien@topunion.com.tw,(補開MO)RE: 20220415_01:04_100S 
KJ-2021A,RPA3,2022/04/15 13:23:53,luna_hsiao@topunion.com.tw,MO已開(補開MO)RE: 20220415_01:04_100S 
KJ-2021A,RPA3,2022/04/18 11:12:16,luna_hsiao@topunion.com.tw,RE: 20220418_10:38_100S 
KJ-2021A,RPA3,2022/04/26 10:10:46,tina_lin@topunion.com.tw,RE: 20220426_09:57_100R UP
KJ-2021A,RPA3,2022/04/29 11:56:01,luna_hsiao@topunion.com.tw,(to 月美)20220429_11:20_100R 
KJ-2021A,RPA3,2022/04/29 12:01:20,tina_lin@topunion.com.tw,RE: (to 月美)20220429_11:20_100R 
KJ-2021A,RPA3,2022/04/29 12:08:10,luna_hsiao@topunion.com.tw,20220429_11:20_100R 
KJ-2021A,RPA3,2022/04/30 16:03:08,luna_hsiao@topunion.com.tw,[MO已開]20220430_03:36_100S 
KJ-2021A,RPA3,2022/05/03 14:28:20,papa_chiu@topunion.com.tw,RE: 20220503_02:23_100R 
KJ-2021A,RPA3,2022/05/05 11:09:43,lara_tu@topunion.com.tw,(MO已開) RE: 20220505_10:34_100S 
KJ-2021A,RPA3,2022/05/05 11:25:29,hanny_chien@topunion.com.tw,RE: (MO已開) RE: 20220505_10:34_100S 
KJ-2021A,RPA3,2022/05/05 11:33:31,lara_tu@topunion.com.tw,RE: (MO補開) RE: 20220505_10:34_100S 
KJ-2021A,RPA3,2022/05/11 20:04:47,tony_chao@topunion.com.tw,RE(已補開MO): 20220511_04:04_100S 
KJ-2021A,RPA3,2022/05/11 19:56:33,tony_chao@topunion.com.tw,RE:(已開MO) 20220511_07:04_100S 
KJ-2021A,RPA3,2022/05/12 09:03:44,jessie@topunion.com.tw,RE: (已開MO) 20220511_07:04_100S 
KJ-2021A,RPA3,2022/05/12 09:18:55,luna_hsiao@topunion.com.tw,MO已修改(已開MO) 20220511_07:04_100S 
KJ-2021A,RPA3,2022/05/13 17:17:46,luna_hsiao@topunion.com.tw,RE: 20220513_04:08_100P 
KJ-2021A,RPA3,2022/05/16 10:24:44,papa_chiu@topunion.com.tw,RE: 20220516_10:13_100R 
KJ-2021A,RPA3,2022/05/16 20:05:26,tony_chao@topunion.com.tw,RE: (開立RPA未開立MO) 20220516_07:05_100S (Shure)
KJ-2021A,RPA3,2022/05/20 10:54:25,luna_hsiao@topunion.com.tw,(shure MO已開)20220520_10:44_100S 100P 
KJ-2021A,RPA3,2022/05/20 12:03:55,jessie@topunion.com.tw,RE: (shure MO已開)20220520_10:44_100S 100P 
KJ-2021A,RPA3,2022/05/20 12:13:39,luna_hsiao@topunion.com.tw,RE: (shure MO已開)20220520_10:44_100S 100P 
KJ-2021A,RPA3,2022/05/20 14:15:26,aki_chen@topunion.com.tw,(補開RPA未開立之工單)RE: 20220520_01:54_100S 100R 
KJ-2021A,RPA3,2022/05/23 10:22:33,luna_hsiao@topunion.com.tw,RE: 20220523_10:17_100R 
KJ-2021A,RPA3,2022/05/23 10:39:15,tina_lin@topunion.com.tw,RE: 20220523_10:17_100R  UP
KJ-2021A,RPA3,2022/05/23 10:40:40,luna_hsiao@topunion.com.tw,RE: 20220523_10:17_100R  UP
KJ-2021A,RPA3,2022/05/23 11:03:19,papa_chiu@topunion.com.tw,RE: 20220523_10:17_100R  UP
KJ-2021A,RPA3,2022/05/25 13:24:45,papa_chiu@topunion.com.tw,RE: 20220525_11:41_100R 
KJ-2021A,RPA3,2022/05/25 14:13:00,aki_chen@topunion.com.tw,(補開RPA未開立之MO)RE: 20220525_01:35_100S 
KJ-2021A,RPA3,2022/05/26 11:33:32,aki_chen@topunion.com.tw,RE: 20220526_10:12_100R 
KJ-2021A,RPA3,2022/05/26 11:40:53,john_tsai@topunion.com.tw,RE: 20220526_10:12_100R 
KJ-2021A,RPA3,2022/05/30 12:21:29,ivy_wu@topunion.com.tw,RE: 20220530_10:36_100R 
KJ-2021A,RPA3,2022/05/30 15:03:34,tina_lin@topunion.com.tw,RE: 20220530_10:36_100R 
KJ-2021A,RPA3,2022/05/30 16:55:32,john_tsai@topunion.com.tw,RE: 20220530_10:36_100R 
KJ-2021A,RPA3,2022/05/31 17:49:09,angel_tsai@topunion.com.tw,RE: 20220531_05:33_100S 
KJ-2021A,其他討論,2022/05/13 17:18:17,kj_chen@topunion.com.tw,生管RPA腳本修改公告
KJ-2021A,其他討論,2022/05/13 17:24:23,kj_chen@topunion.com.tw,生管RPA腳本修改公告
kj_chen@topunion.com.tw,收件匣,2022/05/05 19:39:39,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
kj_chen@topunion.com.tw,收件匣,2022/05/05 19:39:39,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
